Part Name,Material Composition,Age (years),Condition,Location,Manufacturer,Aircraft Model,Potential Use Cases,New Parts Carbon Footprint (kg CO2e),Recycled Parts Carbon Footprint (kg CO2e),Water Usage - New Parts (liters),Water Usage - Recycled Parts (liters),Landfill Waste - New Parts (kg),Landfill Waste - Recycled Parts (kg),Energy Consumption - New Parts (kWh),Energy Consumption - Recycled Parts (kWh),Recycling Rate (%),Toxicity Score - New Parts,Toxicity Score - Recycled Parts,Remanufacturing Potential,Life Cycle Assessment,Renewable Material Content (%),Carbon Footprint Saved (kg CO2e),Water Usage Saved (liters),Landfill Waste Saved (kg),Energy Consumption Saved (kWh),Toxicity Score Difference,Remanufacturing Potential (%),Life Cycle Assessment Score
Landing Gear,Steel,29,Used,North America,Airbus,G650,Building Materials,413,122,6997,646,799,116,607,138,93.3843187256354,9.31957174198568,1.06560183969209,0.668090675292858,31.3460876588423,44.5989385051133,291,6351,683,469,8.25396990229358,66.8090675292859,31.3460876588423
Landing Gear,Composite,28,Used,South America,Airbus,A320,Automotive Components,747,90,8983,695,506,191,3818,336,70.3467235683815,8.71163026656723,3.14153964802601,0.457197266554465,81.9259848687054,49.979211277407,657,8288,315,3482,5.57009061854121,45.7197266554465,81.9259848687054
Wing,Aluminum,41,Used,South America,Gulfstream,737,Building Materials,804,27,7291,980,353,60,3021,198,93.7623811279782,1.9729681214154,4.34696911555074,0.73051938501031,17.4844933664892,70.9369187685668,777,6311,293,2823,-2.37400099413533,73.051938501031,17.4844933664892
Engine,Titanium,13,Used,North America,Airbus,A320,Art Installations,696,179,3060,523,964,180,3998,142,64.4591946212867,5.22661806281821,4.41610156829398,0.38489697919594,80.8690513061832,20.2150664260037,517,2537,784,3856,0.810516494524232,38.489697919594,80.8690513061832
Avionics,Titanium,49,Used,North America,Cessna,CRJ900,Art Installations,416,134,8958,306,748,160,4021,405,64.7911667663876,4.87462230365664,2.30658446336914,0.588959623499493,27.3735023864461,49.2501165881364,282,8652,588,3616,2.56803784028749,58.8959623499493,27.3735023864461
Wing,Titanium,31,Used,Australia,Airbus,E175,Automotive Components,854,150,1211,759,682,139,2096,322,94.7075327990876,7.65960312670846,4.10400760604138,0.926071705140757,14.7293992863108,9.4968283585975,704,452,543,1774,3.55559552066708,92.6071705140757,14.7293992863108
Avionics,Titanium,41,New,Africa,Bombardier,G650,Automotive Components,994,177,7452,960,456,27,3678,214,65.6474160963594,6.53132238360791,4.07262284661202,0.888287842648226,8.30693503903105,37.0745629002613,817,6492,429,3464,2.45869953699589,88.8287842648226,8.30693503903105
Avionics,Steel,21,New,Europe,Cessna,Citation X,Art Installations,419,113,1855,500,683,58,4149,398,62.1205658230909,9.56059285966339,1.81285097950885,0.749872642040349,25.9639892675441,51.4702729355183,306,1355,625,3751,7.74774188015454,74.9872642040349,25.9639892675441
Fuselage,Titanium,30,Used,North America,Embraer,G650,Furniture,359,191,3304,747,172,129,2684,171,94.7496893071294,1.72547897132998,1.63444746582979,0.512027146405129,73.5805404039226,12.4952918960714,168,2557,43,2513,0.0910315055001931,51.2027146405129,73.5805404039226
Landing Gear,Composite,39,Used,Europe,Embraer,A320,Building Materials,699,96,5210,554,193,30,2892,141,71.1055988436682,3.87002831814241,3.36760038546104,0.0622159695607515,8.13480605396275,91.9871823480854,603,4656,163,2751,0.502427932681375,6.22159695607515,8.13480605396275
Fuselage,Steel,36,New,Europe,Embraer,Citation X,Furniture,223,119,6125,847,482,132,3047,377,94.2506438955607,3.08710852994085,3.35082869898893,0.824251578322091,82.4889993708376,20.69345882247,104,5278,350,2670,-0.263720169048083,82.4251578322091,82.4889993708376
Wing,Aluminum,32,New,Australia,Embraer,Citation X,Art Installations,669,101,8777,473,491,61,3112,115,79.6992753647843,2.42093144661435,1.10876188708475,0.500236922715556,11.2260273719023,22.3648916942047,568,8304,430,2997,1.3121695595296,50.0236922715556,11.2260273719023
Fuselage,Aluminum,6,Used,North America,Gulfstream,737,Automotive Components,658,118,8990,829,336,36,3601,133,69.8359433017089,7.24888392514814,2.84689610243199,0.0199115463962042,65.4616342622102,37.4960745295256,540,8161,300,3468,4.40198782271614,1.99115463962042,65.4616342622102
Landing Gear,Titanium,49,Used,Africa,Boeing,A320,Building Materials,168,186,3272,389,620,50,1578,237,60.0797406208657,5.71869531253247,2.11147466297146,0.860954022010441,24.2563861813297,73.5974087851863,-18,2883,570,1341,3.607220649561,86.0954022010441,24.2563861813297
Engine,Aluminum,45,Used,South America,Cessna,737,Art Installations,736,170,2898,245,390,196,3201,339,63.227853728137,1.43382655040439,1.80500184068413,0.121961217559107,67.1794441240076,18.060312171669,566,2653,194,2862,-0.371175290279746,12.1961217559107,67.1794441240076
Landing Gear,Composite,37,New,North America,Embraer,Citation X,Aircraft Maintenance,666,166,4434,773,975,47,4009,119,75.5877543176454,7.5736443557736,1.74996683692373,0.0987563515069859,58.4354057789884,98.9384092716759,500,3661,928,3890,5.82367751884986,9.87563515069859,58.4354057789884
Engine,Steel,19,New,Africa,Gulfstream,737,Automotive Components,474,73,9385,557,223,41,3978,244,50.1674440536621,9.63616989950902,1.23137978088098,0.952818106901245,28.0849462950791,56.4930840661476,401,8828,182,3734,8.40479011862804,95.2818106901245,28.0849462950791
Engine,Aluminum,29,New,North America,Cessna,G650,Aircraft Maintenance,344,184,7131,806,942,64,4572,129,53.1010427250886,3.26688598846563,2.34556452932323,0.871334861384867,71.6080997829729,12.2495785605041,160,6325,878,4443,0.921321459142401,87.1334861384867,71.6080997829729
Fuselage,Composite,41,Used,Australia,Embraer,G650,Automotive Components,868,109,3752,506,408,33,1539,392,84.1184353706916,2.88770342421151,1.14449029315727,0.97852980669303,33.5956943423571,52.4893118618212,759,3246,375,1147,1.74321313105423,97.8529806693031,33.5956943423571
Wing,Steel,5,New,Asia,Bombardier,A320,Building Materials,959,35,2968,611,946,81,1449,268,58.1760692415345,5.13224461151044,4.06769749921659,0.586753770252594,67.5843906876187,75.424997713456,924,2357,865,1181,1.06454711229384,58.6753770252594,67.5843906876187
Avionics,Aluminum,22,New,Europe,Bombardier,737,Aircraft Maintenance,216,44,3113,913,879,128,2023,203,53.9024322698886,9.86319459858421,4.95621644880826,0.256140862802041,13.2248325288245,95.9503140550752,172,2200,751,1820,4.90697814977595,25.6140862802041,13.2248325288245
Landing Gear,Aluminum,6,Used,Europe,Bombardier,CRJ900,Art Installations,818,196,9009,865,969,52,2794,214,78.7735926109697,9.09052696762977,4.05774190016821,0.242098809861392,15.1097290380954,58.5352957796336,622,8144,917,2580,5.03278506746155,24.2098809861392,15.1097290380954
Fuselage,Steel,43,New,Europe,Bombardier,E175,Furniture,647,64,3388,975,433,138,3743,245,70.062830593396,1.02017350021488,3.71876023664963,0.96302900938798,17.8627500885045,35.4398271472888,583,2413,295,3498,-2.69858673643475,96.302900938798,17.8627500885045
Fuselage,Composite,36,New,Australia,Bombardier,Citation X,Furniture,143,144,9585,532,425,91,865,283,79.3360125824662,5.49347092347219,4.97313181596412,0.0162515029637095,97.7973341217745,0.428105543317225,-1,9053,334,582,0.520339107508069,1.62515029637095,97.7973341217745
Engine,Titanium,28,Used,South America,Boeing,G650,Furniture,451,94,4622,914,705,156,893,388,90.540866319548,7.96943899307683,2.45883421825615,0.457843000173835,85.8513567406434,28.3906822707373,357,3708,549,505,5.51060477482068,45.7843000173835,85.8513567406434
Avionics,Titanium,24,Used,Australia,Bombardier,Citation X,Building Materials,561,179,9461,392,992,70,4890,299,59.4448119634497,4.40334753602173,1.67825478737612,0.372599371529026,9.86269605612062,16.5320284305093,382,9069,922,4591,2.72509274864561,37.2599371529026,9.86269605612062
Landing Gear,Titanium,20,Used,Australia,Bombardier,737,Art Installations,529,126,8694,853,562,132,2827,211,90.2390645329542,9.98143797157264,3.67181691818311,0.324205496885797,32.8415491536566,76.0358601867684,403,7841,430,2616,6.30962105338952,32.4205496885797,32.8415491536566
Engine,Aluminum,13,New,North America,Boeing,A320,Building Materials,100,149,9978,801,168,137,1916,223,71.0391517826012,1.25716160708462,1.93688885413803,0.614475794855504,7.02201899705366,78.2006312518048,-49,9177,31,1693,-0.679727247053411,61.4475794855504,7.02201899705366
Landing Gear,Composite,32,New,Africa,Embraer,E175,Automotive Components,666,22,3342,538,508,180,3132,462,80.5111535751181,9.82637662387469,3.63115095422238,0.662267257567452,23.8765864657089,36.2721933848268,644,2804,328,2670,6.19522566965231,66.2267257567452,23.8765864657089
Avionics,Composite,6,New,South America,Boeing,G650,Art Installations,811,30,1204,465,841,108,771,237,66.1546372524232,7.72526490448065,3.90497536431369,0.979096983330722,35.6939593787048,61.5953418930089,781,739,733,534,3.82028954016696,97.9096983330723,35.6939593787048
Wing,Aluminum,43,Used,North America,Bombardier,E175,Automotive Components,112,156,7581,383,214,109,3827,309,88.5265541711547,5.60416372394201,1.84616115420458,0.280318934237719,73.8203790953561,87.1266130949297,-44,7198,105,3518,3.75800256973743,28.0318934237719,73.8203790953561
Avionics,Composite,8,New,Europe,Embraer,Citation X,Art Installations,829,125,1259,871,962,94,2822,483,62.2141861547427,9.10727014010981,2.54458936859716,0.378255351607808,82.1620146641051,58.28918763592,704,388,868,2339,6.56268077151265,37.8255351607808,82.1620146641051
Avionics,Titanium,46,New,South America,Embraer,G650,Automotive Components,382,27,1631,469,598,161,639,251,88.8980281065307,4.48969285100168,1.34764770231787,0.957290689666869,9.6359632985075,35.2465862613978,355,1162,437,388,3.1420451486838,95.7290689666869,9.6359632985075
Landing Gear,Composite,31,New,Europe,Embraer,G650,Automotive Components,287,126,3672,840,648,23,4403,478,93.5676670928392,3.64122537444059,4.10093660078797,0.251484359335423,73.6352582515426,94.9141545769697,161,2832,625,3925,-0.459711226347378,25.1484359335423,73.6352582515426
Landing Gear,Aluminum,8,Used,Africa,Airbus,CRJ900,Automotive Components,201,114,7878,410,446,24,3646,416,69.7511412231418,4.66647803591898,2.83323436698699,0.780605081077505,63.8144955969168,92.6457704848319,87,7468,422,3230,1.83324366893198,78.0605081077505,63.8144955969168
Fuselage,Titanium,26,Used,Australia,Bombardier,CRJ900,Aircraft Maintenance,642,138,2225,897,254,87,4284,384,86.6173246593581,7.51588474473224,1.8736796739498,0.901190713171926,39.0062864750805,10.8487904285533,504,1328,167,3900,5.64220507078244,90.1190713171926,39.0062864750805
Engine,Aluminum,12,Used,North America,Bombardier,CRJ900,Automotive Components,115,20,2448,722,596,99,4249,135,77.033620379061,8.13960996625029,3.3395357156812,0.686332214643415,93.7284043810798,93.3338110750765,95,1726,497,4114,4.80007425056908,68.6332214643415,93.7284043810798
Wing,Aluminum,6,Used,South America,Cessna,E175,Furniture,550,104,7403,877,168,199,2671,338,53.2681444188752,1.37209024790849,1.60573435066274,0.882832203402025,15.6012140817646,53.6116184011357,446,6526,-31,2333,-0.233644102754248,88.2832203402025,15.6012140817646
Landing Gear,Aluminum,18,Used,Asia,Cessna,CRJ900,Automotive Components,545,112,7775,725,131,70,709,117,53.9545357204324,9.98832903396357,2.03107790403314,0.640621529778198,25.2228005208304,84.899086085155,433,7050,61,592,7.95725112993042,64.0621529778197,25.2228005208304
Avionics,Steel,26,New,South America,Embraer,A320,Furniture,168,110,3885,828,855,169,2087,391,72.151442718695,4.92054019325826,1.24409421536808,0.442930995838795,35.433752660428,6.73182021323796,58,3057,686,1696,3.67644597789017,44.2930995838795,35.433752660428
Avionics,Titanium,22,Used,South America,Bombardier,CRJ900,Aircraft Maintenance,908,136,7195,255,237,69,3260,139,86.7660684881398,4.23903298852819,1.34339845372448,0.978445008675391,2.81235215126891,22.9285419173255,772,6940,168,3121,2.8956345348037,97.8445008675391,2.81235215126891
Engine,Composite,31,New,South America,Gulfstream,E175,Building Materials,549,58,7437,369,380,188,1976,379,50.7300724281094,6.467466073197,1.58910100991866,0.923599612164079,92.7747541660907,0.442304088935741,491,7068,192,1597,4.87836506327833,92.3599612164079,92.7747541660907
Wing,Titanium,28,Used,Australia,Embraer,CRJ900,Building Materials,955,58,7978,275,562,125,3813,411,73.8231072261231,5.13470440133682,4.4152942425919,0.962175700883276,87.7418088038097,0.273657808251359,897,7703,437,3402,0.719410158744922,96.2175700883276,87.7418088038097
Wing,Steel,30,New,Europe,Boeing,737,Aircraft Maintenance,517,82,9717,432,745,179,2816,369,92.1445325248221,2.49463648474286,4.84364417253889,0.613825504615755,79.6149547765061,9.16822930216079,435,9285,566,2447,-2.34900768779602,61.3825504615755,79.6149547765061
